ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV
ED,D,5,0.9634991093895784,0.929569012547736,4.557500183582307,0.16971844534873987,0.8293161290322579,0.7084031390529936,6.57292023993702,0.3278942529591277,0.852318386866172,0.7426435843464066,12.641990619331114,2.457217768023254
ED,D,5,0.8224134078212291,0.6983889025940756,30.0,3.725749294500705,0.6690314174026349,0.502665071249864,20.391677357990588,1.7018612084103608,0.4362067172714984,0.2789414189773256,30.500166043943228,5.47804462330901
ES,D,5,0.9383783783783785,0.8839103869653768,51.93964765538714,0.4761150503529393,0.8448423603108471,0.7313654269197319,15.094028097790133,0.9165830946809184,0.8175800325556158,0.6914464023494861,12.298716913992706,2.102652324019748
ED,C,4,0.9689125967382276,0.9396997710117888,9.45945930480957,0.24545564113858825,0.9054572685575212,0.8272470708971179,11.616955723803375,0.36202180417631397,0.8384641407307172,0.7218581622251347,12.54288654471709,3.5323319931679316
ES,A,1,0.8945086705202312,0.8091503267973856,7.96875,0.583162521907283,0.8764927593731402,0.7801398403842079,11.953125,0.9173220103047924,0.8276983094928478,0.7060454797559623,13.073926425716898,1.0645493481949422
ED,D,5,0.9297740027301684,0.8687641723356009,6.363600254058838,0.6110093846324276,0.8268144044321329,0.7047601057801285,10.493991235386297,0.6157669395811718,0.9439913832897368,0.8939239399679441,8.112030468037505,0.2908151511951147
ED,B,2,0.9822141560798548,0.9650499286733238,2.3648648262023926,0.10669016910474896,0.8869136671653612,0.7968058191018342,3.7391796046089016,0.2285031518983613,0.9493999039846376,0.9036739170169988,3.344423910394516,0.2072052524071262
ED,A,6,0.9668433378528288,0.9358148413266524,10.0,0.2983659049922732,0.8346005509641873,0.7161497730711044,13.424687193705749,0.582971454333125,0.9371196754563894,0.8816793893129771,11.836854021420708,0.6490902642061236
ES,B,2,0.8433179723502304,0.7290836653386454,6.029245947907604,0.5481378210095013,0.8321422899793552,0.7125373946151754,11.616955723803375,1.2905086270600492,0.8290288153681964,0.7079839591687933,14.956718418435607,0.6467055167182624
ES,C,4,0.9348304711580802,0.8776353865233567,3.319219808213124,0.20793346570186436,0.939329712544708,0.8856000999125765,10.0,0.2614236952139183,0.9086878204239988,0.8326561706449974,7.56898590803621,0.37185484214710346
ED,C,4,0.8141176470588235,0.6865079365079365,20.0609422328506,4.263363377475653,0.7402418490739323,0.5876063183475091,20.953818410028862,2.2281433050222663,0.8366666666666667,0.7191977077363897,19.134087166123773,1.8908708415334732
ES,D,5,0.8583697130179632,0.7518806419257773,14.807335781588687,1.0032609682734135,0.7407908403584628,0.5882984845578362,22.76483913190014,2.85786578783674,0.4996468095125971,0.3330194601381042,45.97205964410672,4.356222462237101
ED,D,5,0.8335038737026751,0.7145363408521304,10.125773100143107,2.994046524891963,0.7217677396407611,0.5646608695652174,10.403204469054938,1.2674601118236848,0.896655167241638,0.8126699293094073,9.967586356811717,0.4492684632958028
ES,C,4,0.8076923076923077,0.6774193548387096,13.796418386817296,2.494465996405672,0.8771746921222389,0.7812209842154132,10.946734850531831,1.1549164155513434,0.8459027658477924,0.7329562369752902,10.704161929427487,0.9115417297863188
ED,A,6,0.969400034381984,0.9406171809841536,9.0,0.2488444062411383,0.8918452320503707,0.8048020527859238,8.077747210701755,0.3745381272606413,0.8739438999662048,0.7761104441776709,24.5,2.195193729102252
ES,C,4,0.9375736160188456,0.8824833702882483,3.344423910394516,0.2645404860059313,0.9014264813460132,0.8205427001831197,13.457061041328243,0.9317062589548902,0.7924876137803895,0.6562977099236641,12.317930720191429,1.1908722033493175
ES,D,5,0.8341031976223726,0.7154176904176904,18.9426363102318,1.8738526084187264,0.7596551815042312,0.6124548352816153,31.791060671834334,2.294371758269329,0.6841757951695921,0.5199598796389168,34.73057678069144,4.46101408911938
ES,B,3,0.9606017191977078,0.9241902136457616,2.96875,0.20005260980324446,0.9261803511067496,0.8625101543460602,10.0,0.3022877641111056,0.90234375,0.8220640569395018,11.046886050206638,0.4749795870613802
ES,C,4,0.8590054013782827,0.752856676460986,11.724271612766788,1.3026156412234036,0.9083365249585088,0.8320664249795345,12.45335679114442,0.7096551156445148,0.8258672953856517,0.7033849684452094,14.497316673615352,1.089993313986468
ES,B,3,0.9385556915544676,0.8842250922509225,4.198446681882524,0.2970990979574024,0.9176108546649882,0.8477642801757559,10.0,0.30346447200551746,0.9505991170906032,0.9058493589743588,5.937500476837157,0.1846270435276972
ES,A,6,0.7267152165580683,0.5707405177603853,11.514785252604327,3.0489182058346707,0.8344039194338596,0.7158602652718102,12.754356677500901,1.4596459456809319,0.5172947857511616,0.3488857938718663,12.253117619835756,3.2949237495871038
