External code,Slice,Phase,VendorInit,VendorTarget,InitProbs,NewProbs
A0S9V9,0,0,A,B,"['1.000', '0.000', '0.000']","['0.005', '0.994', '0.000']"
A0S9V9,0,0,A,C,"['1.000', '0.000', '0.000']","['0.048', '0.000', '0.952']"
A0S9V9,0,0,A,equal,"['1.000', '0.000', '0.000']","['0.287', '0.379', '0.334']"
A0S9V9,1,0,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A0S9V9,1,0,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A0S9V9,1,0,A,equal,"['1.000', '0.000', '0.000']","['0.375', '0.332', '0.293']"
A0S9V9,2,0,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A0S9V9,2,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,2,0,A,equal,"['1.000', '0.000', '0.000']","['0.378', '0.318', '0.304']"
A0S9V9,3,0,A,B,"['1.000', '0.000', '0.000']","['0.997', '0.003', '0.000']"
A0S9V9,3,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,3,0,A,equal,"['1.000', '0.000', '0.000']","['0.338', '0.285', '0.377']"
A0S9V9,4,0,A,B,"['1.000', '0.000', '0.000']","['0.997', '0.003', '0.000']"
A0S9V9,4,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,4,0,A,equal,"['1.000', '0.000', '0.000']","['0.381', '0.303', '0.316']"
A0S9V9,5,0,A,B,"['1.000', '0.000', '0.000']","['0.998', '0.002', '0.000']"
A0S9V9,5,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,5,0,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,6,0,A,B,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,6,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,6,0,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,7,0,A,B,"['1.000', '0.000', '0.000']","['0.999', '0.001', '0.000']"
A0S9V9,7,0,A,C,"['1.000', '0.000', '0.000']","['0.115', '0.000', '0.885']"
A0S9V9,7,0,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,8,0,A,B,"['1.000', '0.000', '0.000']","['0.996', '0.004', '0.000']"
A0S9V9,8,0,A,C,"['1.000', '0.000', '0.000']","['0.991', '0.000', '0.009']"
A0S9V9,8,0,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,9,0,A,B,"['1.000', '0.000', '0.000']","['0.999', '0.001', '0.000']"
A0S9V9,9,0,A,C,"['1.000', '0.000', '0.000']","['0.067', '0.000', '0.933']"
A0S9V9,9,0,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,10,0,A,B,"['1.000', '0.000', '0.000']","['0.887', '0.113', '0.000']"
A0S9V9,10,0,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.001', '0.950']"
A0S9V9,10,0,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,11,0,A,B,"['1.000', '0.000', '0.000']","['0.234', '0.766', '0.001']"
A0S9V9,11,0,A,C,"['1.000', '0.000', '0.000']","['0.126', '0.007', '0.867']"
A0S9V9,11,0,A,equal,"['1.000', '0.000', '0.000']","['0.968', '0.031', '0.001']"
